top,depth1,depth2,depth3,depth4,depth5,depth4_id,depth5_id
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈3(몫과 나머지의 변형),변형4(피제수의 변형. x^n-1꼴식의 활용),11785,11789
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈3(몫과 나머지의 변형),변형5(몫과 제수의 자리바꿈),11785,11790
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈3(몫과 나머지의 변형),변형6(몫 또는 몫의 변형식으로 나눌 때),11785,11791
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈3(몫과 나머지의 변형),변형7(두 다항식),11785,11792
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈4(차수 낮추기),차수 낮추기1(주어진 이차방정식),11793,11794
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈4(차수 낮추기),차수 낮추기2(이차방정식 만들기),11793,11795
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈4(차수 낮추기),차수 낮추기3(해석 후 이차방정식 만들기),11793,11796
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈의 활용,활용1(정수론),11797,11798
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈의 활용,활용2(도형 조건),11797,11799
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식1(계수비교법),항등식의 뜻,11802,11803
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식1(계수비교법),계수비교법1(기본),11802,11804
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식1(계수비교법),계수비교법2(식 변형),11802,11805
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식1(계수비교법),계수비교법3(식 변형. 분수꼴),11802,11806
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식1(계수비교법),계수비교법4(분수식꼴. 통분),11802,11807
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식1(계수비교법),계수비교법5(치환),11802,11808
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식1(계수비교법),계수비교법6(항등식의 성질 증명),11802,11809
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식1(계수비교법),계수비교법7(항등식의 성질을 이용한 증명),11802,11810
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식2(수치대입법),수치대입법1(기본),11811,11812
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식2(수치대입법),수치대입법2(통째로 구하기),11811,11813
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식2(수치대입법),수치대입법3(계수비교와 혼합),11811,11814
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식2(수치대입법),수치대입법4(일반항으로 표현된 다항식 조건),11811,11815
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식2(수치대입법),수치대입법5(미지의 식이 있는 경우),11811,11816
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식2(수치대입법),수치대입법6(미지의 식이 있는 경우. 제곱항에 음수 대입),11811,11817
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식3(여러 문자),여러 문자1(계수비교. 기준 문자),11818,11819
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식3(여러 문자),여러 문자2(계수비교. 문자 사이의 관계식 조건),11818,11820
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식3(여러 문자),여러 문자3(계수비교. 여러 문자에 대한 항등식),11818,11821
고등수학분류,공통수학1,항등식과 나머지정리,항등식의 뜻과 성질,항등식3(여러 문자),여러 문자4(수치대입. 일반식 조건),11818,11822
